year,value,index
1998,0.48,ICPB
1999,1.64,ICPB
2000,0.97,ICPB
2001,1.27,ICPB
2002,1.95,ICPB
2003,0.40,ICPB
2004,0.32,ICPB
2005,0.49,ICPB
2006,1.16,ICPB
2007,0.48,ICPB
2008,1.64,ICPB
2009,0.62,ICPB
2010,1.87,ICPB
2011,1.21,ICPB
2012,1.55,ICPB
2013,1.09,ICPB
2014,0.46,ICPB
2015,0.51,ICPB
2016,0.49,ICPB
2017,0.64,ICPB
2018,1.12,ICPB
2019,0.43,ICPB
